id,project_id,month,cumulative_expenditure_cr,physical_progress_pct,reported_issues
162,706780,2018-08-01,1800.93,10.65,none
163,706780,2018-09-01,1896.72,10.81,none
164,706780,2018-10-01,1999.1,11.78,none
165,706780,2018-11-01,2095.46,12.37,none
166,706780,2018-12-01,2195.55,12.97,none
167,706780,2019-01-01,2295.25,13.25,none
168,706780,2019-02-01,2396.76,13.76,none
169,706780,2019-03-01,2492.6,14.51,none
170,706780,2019-04-01,2594.21,15.0,none
171,706780,2019-05-01,2698.11,15.61,none
172,706780,2019-06-01,2795.12,16.38,none
173,706780,2019-07-01,2896.89,16.56,none
174,706780,2019-08-01,2998.1,16.7,none
175,706780,2019-09-01,3099.2,17.75,none
176,706780,2019-10-01,3200.98,18.25,none
177,706780,2019-11-01,3301.79,18.82,none
178,706780,2019-12-01,3401.01,19.87,none
179,706780,2020-01-01,3505.39,20.94,none
180,706780,2020-02-01,3577.0,21.25,none
181,709798,2017-03-01,137.19,0.3,none
182,709798,2017-04-01,269.53,0.58,none
183,709798,2017-05-01,397.92,1.63,none
184,709798,2017-06-01,529.76,2.65,none
185,709798,2017-07-01,667.14,2.98,none
186,709798,2017-08-01,806.93,3.82,none
187,709798,2017-09-01,945.73,4.76,none
188,709798,2017-10-01,1076.18,5.25,none
189,709798,2017-11-01,1215.02,6.21,none
190,709798,2017-12-01,1348.61,7.41,none
191,709798,2018-01-01,1487.05,7.99,none
192,709798,2018-02-01,1627.55,8.54,none
193,709798,2018-03-01,1761.35,9.61,none
194,709798,2018-04-01,1899.5,10.57,none
195,709798,2018-05-01,2039.62,10.88,none
196,709798,2018-06-01,2178.73,11.59,none
197,709798,2018-07-01,2318.76,12.12,none
198,709798,2018-08-01,2446.98,12.72,none
199,709798,2018-09-01,2576.28,13.83,none
200,709798,2018-10-01,2717.04,14.36,none
201,709798,2018-11-01,2852.77,15.52,none
202,709798,2018-12-01,2986.83,16.36,none
203,709798,2019-01-01,3119.29,16.86,none
204,709798,2019-02-01,3257.41,17.74,none
205,709798,2019-03-01,3396.02,18.74,none
206,709798,2019-04-01,3530.7,19.04,none
207,709798,2019-05-01,3666.11,19.31,none
208,709798,2019-06-01,3806.03,19.96,none
209,709798,2019-07-01,3935.67,20.52,none
210,709798,2019-08-01,4073.91,20.87,none
211,709798,2019-09-01,4203.34,21.7,none
212,709798,2019-10-01,4340.77,21.99,none
213,709798,2019-11-01,4479.81,22.27,none
214,709798,2019-12-01,4608.98,23.18,none
215,709798,2020-01-01,4750.22,23.47,none
216,709798,2020-02-01,4803.0,24.05,none
217,701263,2017-03-01,1990.21,3.04,land acquisition delay; contractor mobilization pending
218,701263,2017-04-01,3851.65,5.47,land acquisition delay; contractor mobilization pending
219,701263,2017-05-01,5804.38,8.3,land acquisition delay; contractor mobilization pending
220,701263,2017-06-01,7823.99,10.78,land acquisition delay; contractor mobilization pending
221,701263,2017-07-01,9764.07,12.94,land acquisition delay; contractor mobilization pending
222,701263,2017-08-01,11699.55,15.0,land acquisition delay; contractor mobilization pending
223,701263,2017-09-01,13567.78,17.11,land acquisition delay; contractor mobilization pending
224,701263,2017-10-01,15537.96,19.28,land acquisition delay; contractor mobilization pending
225,701263,2017-11-01,17495.49,22.08,land acquisition delay; contractor mobilization pending
226,701263,2017-12-01,19412.94,25.09,land acquisition delay; contractor mobilization pending
227,701263,2018-01-01,21425.3,27.43,land acquisition delay; contractor mobilization pending
228,701263,2018-02-01,23455.84,29.71,land acquisition delay; contractor mobilization pending
229,701263,2018-03-01,25487.66,31.77,none
230,701263,2018-04-01,27504.35,33.87,none
231,701263,2018-05-01,29540.61,36.45,none
232,701263,2018-06-01,31492.46,38.58,none
233,701263,2018-07-01,33438.4,41.6,none
234,701263,2018-08-01,35417.53,44.28,none
235,701263,2018-09-01,37383.55,46.79,none
236,701263,2018-10-01,39402.16,49.43,none
237,701263,2018-11-01,41301.56,51.53,none
238,701263,2018-12-01,43318.08,54.53,none
239,701263,2019-01-01,45282.67,57.04,none
240,701263,2019-02-01,47164.22,59.37,none
241,701263,2019-03-01,49077.53,61.89,none
242,701263,2019-04-01,50937.86,64.53,none
243,701263,2019-05-01,52972.82,67.56,none
244,701263,2019-06-01,54921.26,70.31,none
245,701263,2019-07-01,56923.08,72.67,none
246,701263,2019-08-01,58799.73,75.41,none
247,701263,2019-09-01,60803.23,78.37,none
248,701263,2019-10-01,62788.12,81.37,none
249,701263,2019-11-01,64713.9,84.04,none
250,701263,2019-12-01,66725.77,87.03,none
251,701263,2020-01-01,68576.23,89.13,none
252,701263,2020-02-01,69202.0,91.56,none
253,701289,2017-03-01,749.54,2.68,none
254,701289,2017-04-01,1533.71,5.74,none
255,701289,2017-05-01,2289.84,8.67,none
256,701289,2017-06-01,3031.31,11.17,none
257,701289,2017-07-01,3817.18,13.32,none
258,701289,2017-08-01,4613.19,16.22,none
259,701289,2017-09-01,5375.83,19.31,none
260,701289,2017-10-01,6167.71,22.17,none
261,701289,2017-11-01,6907.22,25.11,none
262,701289,2017-12-01,7637.85,27.65,none
263,701289,2018-01-01,8404.31,30.69,none
264,701289,2018-02-01,9175.69,33.01,none
265,701289,2018-03-01,9923.52,35.72,none
266,701289,2018-04-01,10694.89,37.92,none
267,701289,2018-05-01,11473.82,40.53,none
268,701289,2018-06-01,12258.75,43.14,none
269,701289,2018-07-01,13021.81,45.78,none
270,701289,2018-08-01,13773.04,48.75,none
271,701289,2018-09-01,14496.13,50.97,none
272,701289,2018-10-01,15263.65,53.81,none
273,701289,2018-11-01,16000.58,56.6,none
274,701289,2018-12-01,16722.61,58.83,none
275,701289,2019-01-01,17487.84,61.27,none
276,701289,2019-02-01,18241.63,63.75,none
277,701289,2019-03-01,18988.72,66.74,none
278,701289,2019-04-01,19768.5,69.34,none
279,701289,2019-05-01,20536.15,71.83,none
280,701289,2019-06-01,21328.39,74.78,none
281,701289,2019-07-01,22118.91,77.02,none
282,701289,2019-08-01,22859.24,79.6,none
283,701289,2019-09-01,23653.77,82.15,none
284,701289,2019-10-01,24399.39,84.73,none
285,701289,2019-11-01,25138.36,87.45,none
286,701289,2019-12-01,25868.97,89.61,none
287,701289,2020-01-01,26601.31,91.83,none
288,701289,2020-02-01,27035.0,93.2,none
289,400120,2017-03-01,923.64,3.08,none
290,400120,2017-04-01,1819.63,5.93,none
291,400120,2017-05-01,2703.56,8.3,none
292,400120,2017-06-01,3609.29,10.65,none
293,400120,2017-07-01,4497.61,13.01,none
294,400120,2017-08-01,5420.04,15.31,none
295,400120,2017-09-01,6333.63,17.7,none
296,400120,2017-10-01,7277.12,20.38,none
297,400120,2017-11-01,8230.6,22.6,none
298,400120,2017-12-01,9118.28,25.41,none
299,400120,2018-01-01,10082.9,28.46,none
300,400120,2018-02-01,10988.47,30.7,none
301,400120,2018-03-01,11937.26,33.69,none
302,400120,2018-04-01,12836.64,36.06,none
303,400120,2018-05-01,13761.25,38.61,none
304,400120,2018-06-01,14675.26,41.41,none
305,400120,2018-07-01,15623.98,44.05,none
306,400120,2018-08-01,16527.31,46.27,none
307,400120,2018-09-01,17489.57,49.16,none
308,400120,2018-10-01,18418.54,51.85,none
309,400120,2018-11-01,19339.75,54.14,none
310,400120,2018-12-01,20242.17,56.85,none
311,400120,2019-01-01,21156.95,59.3,none
312,400120,2019-02-01,22066.67,61.5,none
313,400120,2019-03-01,22976.88,63.89,none
314,400120,2019-04-01,23938.72,66.19,none
315,400120,2019-05-01,24881.17,68.96,none
316,400120,2019-06-01,25807.06,71.93,none
317,400120,2019-07-01,26736.49,74.2,none
318,400120,2019-08-01,27685.02,76.97,none
319,400120,2019-09-01,28576.9,79.58,none
320,400120,2019-10-01,29490.38,82.04,none
321,400120,2019-11-01,30422.9,84.87,none
322,400120,2019-12-01,31393.54,87.41,none
323,400120,2020-01-01,32295.48,90.2,none
324,400120,2020-02-01,33007.0,92.48,none
325,602182,2017-03-01,126.12,0.17,none
326,602182,2017-04-01,260.04,0.33,none
327,602182,2017-05-01,389.21,0.39,none
328,602182,2017-06-01,524.22,0.78,none
329,602182,2017-07-01,651.78,0.88,none
330,602182,2017-08-01,785.3,1.83,none
331,602182,2017-09-01,911.07,2.63,none
332,602182,2017-10-01,1042.08,2.79,none
333,602182,2017-11-01,1171.66,3.7,none
334,602182,2017-12-01,1297.71,4.26,none
335,602182,2018-01-01,1422.58,5.01,none
336,602182,2018-02-01,1550.49,5.32,none
337,602182,2018-03-01,1676.06,5.81,none
338,602182,2018-04-01,1806.33,5.91,none
339,602182,2018-05-01,1936.23,6.18,none
340,602182,2018-06-01,2064.85,6.32,none
341,602182,2018-07-01,2187.99,6.84,none
342,602182,2018-08-01,2312.18,7.16,none
343,602182,2018-09-01,2447.29,7.21,none
344,602182,2018-10-01,2580.1,7.52,none
345,602182,2018-11-01,2711.27,7.76,none
346,602182,2018-12-01,2841.35,8.5,none
347,602182,2019-01-01,2969.08,8.96,none
348,602182,2019-02-01,3103.42,9.29,none
349,602182,2019-03-01,3238.21,10.1,none
350,602182,2019-04-01,3370.01,10.21,none
351,602182,2019-05-01,3494.8,11.13,none
352,602182,2019-06-01,3626.74,11.18,none
353,602182,2019-07-01,3759.96,11.74,none
354,602182,2019-08-01,3892.59,11.86,none
355,602182,2019-09-01,4017.16,12.05,none
356,602182,2019-10-01,4150.03,12.2,none
357,602182,2019-11-01,4279.18,12.85,none
358,602182,2019-12-01,4412.85,13.19,none
359,602182,2020-01-01,4545.75,13.57,none
360,602182,2020-02-01,4593.0,13.99,none
361,706775,2017-03-01,1303.03,2.54,land acquisition delay; contractor mobilization pending
362,706775,2017-04-01,2657.24,4.56,land acquisition delay; contractor mobilization pending
363,706775,2017-05-01,3965.53,6.73,land acquisition delay; contractor mobilization pending
364,706775,2017-06-01,5284.23,9.43,land acquisition delay; contractor mobilization pending
365,706775,2017-07-01,6643.63,11.34,land acquisition delay; contractor mobilization pending
366,706775,2017-08-01,7925.01,13.76,land acquisition delay; contractor mobilization pending
367,706775,2017-09-01,9265.61,15.69,land acquisition delay; contractor mobilization pending
368,706775,2017-10-01,10572.6,18.1,land acquisition delay; contractor mobilization pending
369,706775,2017-11-01,11912.5,20.78,land acquisition delay; contractor mobilization pending
370,706775,2017-12-01,13190.89,22.72,land acquisition delay; contractor mobilization pending
371,706775,2018-01-01,14525.03,24.76,land acquisition delay; contractor mobilization pending
372,706775,2018-02-01,15836.72,26.58,land acquisition delay; contractor mobilization pending
373,706775,2018-03-01,17187.99,29.13,none
374,706775,2018-04-01,18532.1,31.26,none
375,706775,2018-05-01,19879.46,33.16,none
376,706775,2018-06-01,21168.89,35.08,none
377,706775,2018-07-01,22426.41,37.67,none
378,706775,2018-08-01,23757.75,39.69,none
379,706775,2018-09-01,25078.63,42.2,none
380,706775,2018-10-01,26386.82,44.68,none
381,706775,2018-11-01,27669.59,46.72,none
382,706775,2018-12-01,29024.95,48.69,none
383,706775,2019-01-01,30314.84,51.06,none
384,706775,2019-02-01,31675.21,53.31,none
385,706775,2019-03-01,32989.01,55.25,none
386,706775,2019-04-01,34306.06,57.54,none
387,706775,2019-05-01,35656.73,59.35,none
388,706775,2019-06-01,36967.81,62.07,none
389,706775,2019-07-01,38324.98,64.56,none
390,706775,2019-08-01,39582.84,67.06,none
391,706775,2019-09-01,40899.28,69.43,none
392,706775,2019-10-01,42232.45,71.64,none
393,706775,2019-11-01,43590.01,74.36,none
394,706775,2019-12-01,44842.8,76.6,none
395,706775,2020-01-01,46189.19,79.37,none
396,706775,2020-02-01,46432.0,81.28,none
397,400188,2017-03-01,385.68,1.39,none
398,400188,2017-04-01,768.9,2.24,none
399,400188,2017-05-01,1139.37,3.84,none
400,400188,2017-06-01,1525.02,4.97,none
401,400188,2017-07-01,1930.79,6.31,none
402,400188,2017-08-01,2314.47,7.46,none
403,400188,2017-09-01,2702.21,9.0,none
404,400188,2017-10-01,3089.95,10.02,none
405,400188,2017-11-01,3467.05,10.96,none
406,400188,2017-12-01,3853.5,12.26,none
407,400188,2018-01-01,4237.77,13.97,none
408,400188,2018-02-01,4632.45,15.35,none
409,400188,2018-03-01,5028.34,16.16,none
410,400188,2018-04-01,5435.7,17.14,none
411,400188,2018-05-01,5821.99,18.09,none
412,400188,2018-06-01,6230.73,18.98,none
413,400188,2018-07-01,6623.99,20.28,none
414,400188,2018-08-01,7023.21,21.15,none
415,400188,2018-09-01,7428.14,22.16,none
416,400188,2018-10-01,7805.79,23.17,none
417,400188,2018-11-01,8194.29,24.01,none
418,400188,2018-12-01,8567.12,25.37,none
419,400188,2019-01-01,8954.9,26.95,none
420,400188,2019-02-01,9342.19,28.27,none
421,400188,2019-03-01,9734.07,29.47,none
422,400188,2019-04-01,10111.38,30.43,none
423,400188,2019-05-01,10518.17,32.09,none
424,400188,2019-06-01,10898.91,33.26,none
425,400188,2019-07-01,11284.97,34.7,none
426,400188,2019-08-01,11661.29,35.53,none
427,400188,2019-09-01,12057.0,37.05,none
428,400188,2019-10-01,12435.86,37.88,none
429,400188,2019-11-01,12832.07,38.91,none
430,400188,2019-12-01,13206.38,39.73,none
431,400188,2020-01-01,13583.56,41.33,none
432,400188,2020-02-01,13886.0,42.78,none
433,618412,2017-03-01,93.35,2.06,none
434,618412,2017-04-01,182.6,4.22,none
435,618412,2017-05-01,270.14,6.22,none
436,618412,2017-06-01,363.85,7.85,none
437,618412,2017-07-01,450.32,9.2,none
438,618412,2017-08-01,536.26,10.74,none
439,618412,2017-09-01,627.17,12.26,none
440,618412,2017-10-01,720.85,14.02,none
441,618412,2017-11-01,809.61,16.17,none
442,618412,2017-12-01,898.71,17.76,none
443,618412,2018-01-01,986.81,19.69,none
444,618412,2018-02-01,1076.17,21.65,none
445,618412,2018-03-01,1165.77,23.54,none
446,618412,2018-04-01,1259.94,25.17,none
447,618412,2018-05-01,1346.9,27.27,none
448,618412,2018-06-01,1436.96,29.47,none
449,618412,2018-07-01,1529.81,31.7,none
450,618412,2018-08-01,1615.72,33.46,none
451,618412,2018-09-01,1706.26,35.06,none
452,618412,2018-10-01,1794.27,37.03,none
453,618412,2018-11-01,1887.43,38.5,none
454,618412,2018-12-01,1977.83,40.82,none
455,618412,2019-01-01,2065.97,42.33,none
456,618412,2019-02-01,2159.84,43.68,none
457,618412,2019-03-01,2250.69,45.13,none
458,618412,2019-04-01,2341.34,46.74,none
459,618412,2019-05-01,2434.45,48.73,none
460,618412,2019-06-01,2520.25,50.27,none
461,618412,2019-07-01,2613.99,51.74,none
462,618412,2019-08-01,2705.03,53.95,none
463,618412,2019-09-01,2796.67,55.89,none
464,618412,2019-10-01,2890.54,57.4,none
465,618412,2019-11-01,2979.67,59.15,none
466,618412,2019-12-01,3065.8,61.0,none
467,618412,2020-01-01,3158.1,62.5,none
468,618412,2020-02-01,3214.0,63.92,none
469,PRJ_0001,2016-05-01,14.53,5.6,none
470,PRJ_0001,2016-05-01,22.45,8.58,equipment procurement delay
471,PRJ_0001,2016-06-01,20.49,8.58,none
472,PRJ_0001,2016-07-01,22.61,8.79,none
473,PRJ_0001,2016-08-01,24.87,9.79,none
474,PRJ_0001,2016-09-01,35.1,14.11,none
475,PRJ_0001,2016-10-01,41.65,17.26,none
476,PRJ_0001,2016-11-01,45.2,17.28,
477,PRJ_0001,2016-12-01,57.54,22.11,none
478,PRJ_0001,2017-01-01,62.4,25.38,none
479,PRJ_0001,2017-03-01,81.22,30.78,fund release delay
480,PRJ_0001,2017-03-01,91.31,34.46,monsoon disruption
481,PRJ_0001,2017-05-01,103.18,38.49,none
482,PRJ_0001,2017-05-01,118.34,41.16,none
483,PRJ_0001,2017-07-01,133.16,46.13,
484,PRJ_0001,2017-07-01,136.73,52.2,none
485,PRJ_0001,2017-08-01,164.09,57.38,none
486,PRJ_0001,2017-09-01,178.13,62.8,fund release delay
487,PRJ_0001,2017-10-01,187.23,66.95,none
488,PRJ_0001,2017-11-01,189.92,71.89,none
489,PRJ_0001,2017-12-01,195.57,74.31,none
490,PRJ_0001,2018-01-01,230.25,79.82,equipment procurement delay
491,PRJ_0001,2018-03-01,223.59,79.82,none
492,PRJ_0002,2019-02-01,1.33,0.9,land acquisition delay
493,PRJ_0002,2019-03-01,3.26,2.02,right of way (RoW) dispute
494,PRJ_0002,2019-04-01,4.1,2.7,environmental clearance pending; law and order issue
495,PRJ_0002,2019-05-01,4.82,3.03,environmental clearance pending
496,PRJ_0002,2019-06-01,5.39,3.4,right of way (RoW) dispute; equipment procurement delay
497,PRJ_0002,2019-07-01,5.61,3.64,contractor mobilization pending
498,PRJ_0002,2019-08-01,5.9,4.07,contractor mobilization pending
499,PRJ_0002,2019-09-01,6.79,4.35,land acquisition delay
500,PRJ_0002,2019-10-01,7.66,4.89,right of way (RoW) dispute
501,PRJ_0002,2019-11-01,7.67,5.16,forest clearance delayed; equipment procurement delay
502,PRJ_0002,2019-12-01,9.32,5.9,right of way (RoW) dispute
503,PRJ_0002,2020-01-01,9.93,6.42,right of way (RoW) dispute
504,PRJ_0002,2020-02-01,33.57,21.73,none
505,PRJ_0002,2020-03-01,31.07,21.73,
506,PRJ_0002,2020-04-01,37.14,25.99,none
507,PRJ_0002,2020-05-01,56.23,28.39,none
508,PRJ_0002,2020-06-01,63.88,31.18,subcontractor dispute
509,PRJ_0002,2020-07-01,65.94,34.07,none
510,PRJ_0002,2020-08-01,70.01,35.93,fund release delay
511,PRJ_0002,2020-09-01,75.54,37.67,none
512,PRJ_0002,2020-10-01,88.49,42.23,none
513,PRJ_0002,2020-11-01,87.58,44.86,none
514,PRJ_0002,2020-12-01,94.67,46.56,none
515,PRJ_0002,2021-01-01,91.79,48.96,
516,PRJ_0002,2021-01-01,100.84,52.54,none
517,PRJ_0002,2021-03-01,105.58,55.4,none
518,PRJ_0002,2021-04-01,106.34,57.44,none
519,PRJ_0002,2021-05-01,125.51,64.2,none
520,PRJ_0002,2021-06-01,130.54,64.67,none
521,PRJ_0002,2021-07-01,139.38,66.79,none
522,PRJ_0003,2020-09-01,6.12,0.37,right of way (RoW) dispute
523,PRJ_0003,2020-10-01,13.16,0.8,contractor mobilization pending; fund release delay
524,PRJ_0003,2020-10-01,26.03,1.65,
525,PRJ_0003,2020-12-01,35.46,2.36,
526,PRJ_0003,2020-12-01,41.11,2.74,right of way (RoW) dispute
527,PRJ_0003,2021-01-01,50.45,3.13,land acquisition delay; subcontractor dispute
528,PRJ_0003,2021-03-01,54.02,3.68,environmental clearance pending
529,PRJ_0003,2021-04-01,67.59,4.14,utility shifting pending; subcontractor dispute
530,PRJ_0003,2021-05-01,75.29,4.55,environmental clearance pending
531,PRJ_0003,2021-06-01,75.55,4.92,environmental clearance pending; equipment procurement delay
532,PRJ_0003,2021-07-01,87.26,5.47,land acquisition delay; fund release delay
533,PRJ_0003,2021-08-01,94.23,5.82,right of way (RoW) dispute
534,PRJ_0003,2021-09-01,229.07,15.26,none
535,PRJ_0003,2021-10-01,283.45,18.0,none
536,PRJ_0003,2021-11-01,291.56,19.77,none
537,PRJ_0003,2021-12-01,342.05,22.66,subcontractor dispute
538,PRJ_0003,2022-01-01,370.19,22.66,none
539,PRJ_0003,2022-01-01,434.77,26.7,none
540,PRJ_0003,2022-03-01,446.46,28.13,monsoon disruption
541,PRJ_0003,2022-04-01,430.66,29.22,none
542,PRJ_0003,2022-05-01,472.41,30.86,none
543,PRJ_0003,2022-06-01,521.35,32.57,none
544,PRJ_0003,2022-07-01,528.69,35.9,monsoon disruption
545,PRJ_0003,2022-08-01,593.45,37.26,none
546,PRJ_0003,2022-09-01,992.54,39.2,none
547,PRJ_0003,2022-10-01,1049.93,43.44,none
548,PRJ_0003,2022-11-01,1171.78,46.43,none
549,PRJ_0003,2022-12-01,1191.53,48.08,none
550,PRJ_0003,2023-01-01,1212.49,51.58,monsoon disruption
551,PRJ_0003,2023-01-01,1394.73,55.45,none
552,PRJ_0003,2023-03-01,1447.67,57.18,none
553,PRJ_0003,2023-04-01,1507.02,60.58,none
554,PRJ_0003,2023-05-01,1564.34,62.97,
