project_id,project_name,ministry,sector,implementing_agency,state,latitude,longitude,approval_date,original_cost_cr,revised_cost_cr,approved_completion_date,revised_completion_date,cumulative_expenditure_cr,num_milestones,milestones_completed,milestones_delayed,status
PRJ_0010,Roads Infrastructure Development at Uttar Pradesh Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Uttar Pradesh,,80.6752,2019-01-01,314.55,313.61,2022-03-02,2022-04-01,112.36,18,6,0,Ongoing
PRJ_0011,Roads Infrastructure Development at Uttar Pradesh Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Uttar Pradesh,27.3593,80.6278,2017-10-01,213.22,274.84,2020-06-01,2021-10-31,229.69,14,12,1,Delayed
PRJ_0012,Roads Infrastructure Development at Maharashtra Section Pkg-4,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Maharashtra,19.2972,75.4778,2019-05-01,1262.78,1265.31,2024-02-29,2024-06-29,186.24,8,1,2,Delayed
PRJ_0013,Petroleum Infrastructure Development at Rajasthan Section Pkg-5,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,NRL,Rajasthan,26.4383,73.9073,2023-06-01,593.15,563.49,2025-01-29,2025-06-30,353.14,13,8,0,Delayed
PRJ_0014,Power Infrastructure Development at Odisha Section Pkg-6,Ministry of Power,Power Transmission & Generation,SJVN,Odisha,21.2366,85.1132,2020-04-01,4262.16,5502.45,2022-07-01,2023-11-30,2318.81,11,4,5,Delayed
PRJ_0015,Roads Infrastructure Development at Haryana Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Haryana,,76.2734,2017-02-01,425.51,427.21,2021-02-01,2021-03-03,408.76,10,9,2,Ongoing
PRJ_0016,Roads Infrastructure Development at Tamil Nadu Section Pkg-8,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Tamil Nadu,11.2513,78.8687,2022-06-01,178.18,245.71,2027-06-01,2028-07-31,57.54,18,4,4,Delayed
PRJ_0017,Railways Infrastructure Development at Haryana Section Pkg-9,Ministry of Railways,Railways,Dedicated Freight Corridor Corp,Haryana,29.3323,76.0814,2019-04-01,2916.67,3094.59,2021-09-30,2021-11-29,2345.61,13,10,2,Ongoing
PRJ_0018,Railways Infrastructure Development at Rajasthan Section Pkg-1,Ministry of Railways,Railways,IRCON,Rajasthan,26.725,74.6386,2017-12-01,212.09,254.51,2020-10-31,2021-06-01,243.27,13,12,1,Delayed
PRJ_0019,Railways Infrastructure Development at Madhya Pradesh Section Pkg-2,Ministry of Railways,Railways,Central Railway,Madhya Pradesh,,78.5582,2020-04-01,219.36,249.41,2022-12-31,2024-12-30,73.38,15,4,5,Stalled
PRJ_0020,Roads Infrastructure Development at Uttarakhand Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Uttarakhand,29.5504,78.6292,2020-05-01,472.25,505.78,2025-03-31,2025-05-30,356.71,23,15,1,Ongoing
PRJ_0021,Roads Infrastructure Development at Chhattisgarh Section Pkg-4,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Chhattisgarh,21.4817,82.2612,2018-08-01,720.61,684.58,2021-04-01,2021-10-31,648.6,16,14,1,Delayed
PRJ_0022,Roads Infrastructure Development at Himachal Pradesh Section Pkg-5,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Himachal Pradesh,31.3287,76.7108,2018-09-01,313.08,297.43,2023-01-31,2023-03-02,273.44,19,17,2,Ongoing
PRJ_0023,Roads Infrastructure Development at Nagaland Section Pkg-6,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Nagaland,,94.4298,2023-09-01,150.0,195.3,2026-03-02,2027-01-30,164.6,21,16,1,Delayed
PRJ_0024,Roads Infrastructure Development at Jammu & Kashmir Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Jammu & Kashmir,34.0956,,2021-08-01,196.12,246.13,2025-03-01,2027-12-30,167.54,11,7,4,Delayed
PRJ_0025,Roads Infrastructure Development at Gujarat Section Pkg-8,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Gujarat,21.7149,,2016-04-01,440.76,518.77,2019-04-01,2020-12-30,288.27,20,11,1,Delayed
PRJ_0026,Roads Infrastructure Development at Maharashtra Section Pkg-9,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Maharashtra,19.2212,75.2477,2016-03-01,1753.39,1835.8,2017-10-30,2017-10-30,1561.67,24,20,2,Ongoing
PRJ_0027,Railways Infrastructure Development at Chhattisgarh Section Pkg-1,Ministry of Railways,Railways,Dedicated Freight Corridor Corp,Chhattisgarh,20.6803,81.6259,2020-09-01,703.82,760.13,2025-03-02,2025-06-01,640.59,17,15,0,Delayed
PRJ_0028,Roads Infrastructure Development at Uttarakhand Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Uttarakhand,29.8952,79.5307,2020-01-01,1144.95,1103.73,2024-07-01,2024-11-30,447.15,15,6,1,Delayed
PRJ_0029,Roads Infrastructure Development at West Bengal Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,West Bengal,23.3232,87.8266,2021-06-01,151.62,184.07,2025-05-01,2026-11-30,139.29,21,14,1,Delayed
PRJ_0030,Urban Infrastructure Development at Telangana Section Pkg-4,Ministry of Housing & Urban Affairs,Urban Infrastructure & Metro,MahaMetro,Telangana,18.3538,79.2918,2018-02-01,227.03,237.25,2020-04-02,2020-09-01,226.35,19,18,1,Delayed
PRJ_0031,Roads Infrastructure Development at Maharashtra Section Pkg-5,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Maharashtra,20.0526,75.2355,2017-10-01,240.91,231.27,2020-03-01,2020-03-31,212.84,24,22,0,Ongoing
PRJ_0032,Water Infrastructure Development at Odisha Section Pkg-6,"Department of Water Resources, River Development & GR",Water & Sanitation,National Mission for Clean Ganga,Odisha,21.3595,84.7247,2021-09-01,647.81,668.54,2023-03-02,2023-04-01,479.43,6,4,0,Ongoing
PRJ_0033,Airports Infrastructure Development at Goa Section Pkg-7,Ministry of Civil Aviation,Airports & Aviation,Adani Airport Holdings,Goa,15.5067,73.6214,2022-12-01,967.49,924.92,2027-12-01,2028-05-01,749.03,16,12,0,Delayed
PRJ_0034,Roads Infrastructure Development at Ladakh Section Pkg-8,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Ladakh,34.2819,77.2715,2023-10-01,732.48,885.57,2026-01-30,2027-07-31,280.2,24,7,3,Delayed
PRJ_0035,Roads Infrastructure Development at Jharkhand Section Pkg-9,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Jharkhand,23.8783,85.3227,2022-01-01,857.05,882.76,2026-06-02,2028-06-01,236.7,13,3,5,Stalled
PRJ_0036,Roads Infrastructure Development at Karnataka Section Pkg-1,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Karnataka,15.3389,75.2823,2018-10-01,503.95,737.28,2023-03-02,2025-11-30,447.73,13,7,1,Delayed
PRJ_0037,Power Infrastructure Development at Andhra Pradesh Section Pkg-2,Ministry of Power,Power Transmission & Generation,PGCIL,Andhra Pradesh,16.3502,79.8443,2023-03-01,690.66,791.5,2025-09-29,2025-12-29,247.34,22,6,1,Delayed
PRJ_0038,Roads Infrastructure Development at Gujarat Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Gujarat,22.4371,70.9227,2016-03-01,377.08,369.16,2019-07-01,2019-10-30,193.56,15,7,0,Delayed
PRJ_0039,Power Infrastructure Development at Jharkhand Section Pkg-4,Ministry of Power,Power Transmission & Generation,THDC,Jharkhand,24.0271,,2021-02-01,368.48,390.96,2024-04-02,2024-06-01,176.49,7,2,2,Ongoing
PRJ_0040,Roads Infrastructure Development at Odisha Section Pkg-5,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Odisha,20.5163,85.1953,2022-02-01,806.76,839.84,2023-08-02,2023-08-02,745.12,19,15,2,Ongoing
PRJ_0041,Roads Infrastructure Development at Andhra Pradesh Section Pkg-6,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Andhra Pradesh,15.8011,79.5339,2020-11-01,2656.45,3482.61,2024-11-01,2026-04-02,2679.09,9,7,2,Delayed
PRJ_0042,Roads Infrastructure Development at Karnataka Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Karnataka,14.7403,76.1061,2017-03-01,182.66,236.91,2020-06-30,2023-10-30,161.17,18,11,4,Delayed
PRJ_0043,Power Infrastructure Development at Punjab Section Pkg-8,Ministry of Power,Power Transmission & Generation,NHPC,Punjab,30.8047,74.8219,2020-06-01,2541.66,2706.87,2022-03-02,2022-08-01,1456.39,6,3,2,Delayed
PRJ_0044,Railways Infrastructure Development at Manipur Section Pkg-9,Ministry of Railways,Railways,IRCON,Manipur,24.1653,93.8663,2021-08-01,4344.77,5526.55,2025-09-30,2028-08-30,3242.91,16,9,6,Delayed
PRJ_0045,Roads Infrastructure Development at Punjab Section Pkg-1,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Punjab,31.2713,75.5326,2017-03-01,300.93,401.14,2019-09-30,2021-08-30,209.63,14,7,3,Delayed
PRJ_0046,Roads Infrastructure Development at Gujarat Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Gujarat,22.7035,70.6926,2018-10-01,201.49,200.08,2022-06-01,2022-11-30,72.89,16,5,2,Delayed
PRJ_0047,Roads Infrastructure Development at Andhra Pradesh Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Andhra Pradesh,15.5003,80.3261,2016-05-01,1405.72,1438.05,2019-03-01,2020-03-30,832.86,13,7,0,Delayed
PRJ_0048,Roads Infrastructure Development at Gujarat Section Pkg-4,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Gujarat,21.7566,70.9027,2023-01-01,150.0,187.05,2025-07-02,2027-03-02,80.18,10,4,1,Delayed
PRJ_0049,Roads Infrastructure Development at Dadra & Nagar Haveli Section Pkg-5,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Dadra & Nagar Haveli,20.4556,73.3527,2022-02-01,252.03,323.35,2025-09-01,2028-10-01,208.01,14,9,4,Delayed
PRJ_0050,Healthcare Infrastructure Development at Maharashtra Section Pkg-6,Ministry of Labour and Employment,Healthcare & ESIC,ESIC,Maharashtra,19.7586,75.3082,2023-08-01,452.4,451.95,2027-08-01,2027-08-01,277.69,6,3,2,Ongoing
PRJ_0051,Roads Infrastructure Development at Maharashtra Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Maharashtra,20.3166,75.3265,2023-02-01,910.67,1185.69,2026-10-02,2027-03-03,579.4,21,10,1,Delayed
PRJ_0052,Railways Infrastructure Development at Arunachal Pradesh Section Pkg-8,Ministry of Railways,Railways,Central Railway,Arunachal Pradesh,28.0954,94.7418,2021-01-01,942.97,939.2,2024-11-01,2024-12-31,939.2,10,9,2,Ongoing
PRJ_0053,Roads Infrastructure Development at Kerala Section Pkg-9,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Kerala,11.4403,75.9211,2020-10-01,607.28,589.06,2024-10-31,2025-08-31,530.48,19,16,0,Delayed
PRJ_0054,Healthcare Infrastructure Development at Jharkhand Section Pkg-1,Ministry of Health & Family Welfare,Healthcare Infrastructure,HITES,Jharkhand,23.2971,85.5895,2020-02-01,286.9,308.13,2022-05-02,2022-12-31,301.99,15,14,1,Delayed
PRJ_0055,Healthcare Infrastructure Development at Maharashtra Section Pkg-2,Ministry of Health & Family Welfare,Healthcare Infrastructure,CPWD,Maharashtra,19.4543,76.1616,2020-04-01,719.22,825.66,2025-04-01,2025-07-01,565.27,16,11,2,Delayed
PRJ_0056,Roads Infrastructure Development at Jharkhand Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Jharkhand,,85.0985,2023-06-01,2338.85,2963.32,2024-11-29,2025-08-29,1522.84,18,9,8,Delayed
PRJ_0057,Coal Infrastructure Development at Maharashtra Section Pkg-4,Ministry of Coal,Coal Mining,ECL,Maharashtra,19.5209,75.4033,2017-02-01,391.07,438.39,2018-11-02,2020-09-01,379.67,23,20,3,Delayed
PRJ_0058,Petroleum Infrastructure Development at Tamil Nadu Section Pkg-5,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,ONGC,Tamil Nadu,10.7023,79.1826,2019-04-01,1849.73,2090.19,2022-03-31,2024-04-29,970.47,11,4,4,Delayed
PRJ_0059,Roads Infrastructure Development at Jharkhand Section Pkg-6,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Jharkhand,23.8957,85.3968,2020-09-01,210.06,199.56,2022-08-02,2022-10-01,143.37,10,6,2,Ongoing
PRJ_0060,Roads Infrastructure Development at Bihar Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Bihar,25.1509,84.958,2020-05-01,1570.26,1549.85,2023-08-31,2023-09-30,1464.84,18,16,2,Ongoing
PRJ_0061,Urban Infrastructure Development at Delhi Section Pkg-8,Ministry of Housing & Urban Affairs,Urban Infrastructure & Metro,NBCC,Delhi,28.7385,76.9038,2020-10-01,150.0,156.75,2023-04-02,2023-04-02,140.6,22,19,1,Ongoing
PRJ_0062,Railways Infrastructure Development at Haryana Section Pkg-9,Ministry of Railways,Railways,RVNL,Haryana,28.8374,75.6135,2020-02-01,286.55,302.88,2022-04-02,2022-06-01,272.34,16,14,1,Ongoing
PRJ_0063,Coal Infrastructure Development at West Bengal Section Pkg-1,Ministry of Coal,Coal Mining,SECL,West Bengal,23.5684,87.5059,2017-06-01,1580.17,1954.67,2020-07-31,2021-12-30,1832.79,11,10,1,Delayed
PRJ_0064,Roads Infrastructure Development at Andhra Pradesh Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Andhra Pradesh,15.662,79.7033,2023-02-01,398.96,405.34,2026-05-03,2026-11-01,221.18,10,5,0,Delayed
PRJ_0065,Petroleum Infrastructure Development at Andhra Pradesh Section Pkg-3,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,BPCL,Andhra Pradesh,15.6477,79.626,2022-10-01,303.38,318.25,2025-10-31,2025-11-30,296.58,19,17,2,Ongoing
PRJ_0066,Educational Infrastructure Development at Uttarakhand Section Pkg-4,Department of Higher Education,Educational Infrastructure,NBCC,Uttarakhand,29.9402,79.4598,2021-08-01,1238.35,1176.43,2026-05-01,2026-06-30,1010.57,21,18,2,Ongoing
PRJ_0067,Roads Infrastructure Development at Tamil Nadu Section Pkg-5,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Tamil Nadu,10.7452,78.6619,2016-10-01,341.52,337.76,2019-12-01,2019-12-01,335.04,15,13,0,Ongoing
PRJ_0068,Petroleum Infrastructure Development at Jammu & Kashmir Section Pkg-6,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,NRL,Jammu & Kashmir,34.2724,76.5032,2018-11-01,539.44,549.15,2022-05-02,2022-07-01,487.95,8,6,0,Ongoing
PRJ_0069,Roads Infrastructure Development at Gujarat Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Gujarat,22.689,71.7477,2022-02-01,3483.99,4654.61,2026-07-03,2027-06-02,3852.48,14,11,3,Delayed
PRJ_0070,Roads Infrastructure Development at Odisha Section Pkg-8,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Odisha,20.877,84.8709,2019-12-01,855.51,882.89,2024-11-30,2025-05-01,141.22,22,3,0,Delayed
PRJ_0071,Roads Infrastructure Development at Uttarakhand Section Pkg-9,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Uttarakhand,30.6397,79.5765,2016-06-01,480.18,565.65,2017-11-30,2019-03-01,445.81,20,15,5,Delayed
PRJ_0072,Water Infrastructure Development at Maharashtra Section Pkg-1,"Department of Water Resources, River Development & GR",Water & Sanitation,Water Resources Dept,Maharashtra,19.5355,,2020-08-01,2368.11,2297.07,2022-07-02,2022-08-31,1466.62,19,11,2,Ongoing
PRJ_0073,Roads Infrastructure Development at Madhya Pradesh Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Madhya Pradesh,,78.9193,2020-06-01,5219.95,6253.5,2023-05-02,2023-07-01,3126.04,17,8,0,Delayed
PRJ_0074,Roads Infrastructure Development at Maharashtra Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Maharashtra,19.4494,76.2995,2020-09-01,2434.47,2918.93,2024-01-01,2025-03-02,863.81,17,5,1,Delayed
PRJ_0075,Roads Infrastructure Development at Uttar Pradesh Section Pkg-4,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Uttar Pradesh,26.4266,80.9913,2021-02-01,296.87,326.26,2025-07-03,2026-08-02,201.95,14,8,0,Delayed
PRJ_0076,Petroleum Infrastructure Development at Madhya Pradesh Section Pkg-5,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,GAIL,Madhya Pradesh,23.3895,79.0552,2022-03-01,150.0,164.85,2023-08-30,2024-08-29,143.32,13,11,2,Delayed
PRJ_0077,Roads Infrastructure Development at Maharashtra Section Pkg-6,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Maharashtra,19.9944,75.9046,2017-10-01,895.8,939.69,2021-06-01,2021-07-31,575.84,22,12,1,Ongoing
PRJ_0078,Roads Infrastructure Development at Bihar Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Bihar,25.1104,85.3455,2020-12-01,184.51,201.48,2023-08-02,2023-12-01,120.72,19,10,0,Delayed
PRJ_0079,Roads Infrastructure Development at Madhya Pradesh Section Pkg-8,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Madhya Pradesh,23.2221,78.2854,2019-06-01,150.0,153.6,2022-12-30,2023-01-29,57.3,17,5,0,Ongoing
PRJ_0080,Railways Infrastructure Development at Bihar Section Pkg-9,Ministry of Railways,Railways,RVNL,Bihar,24.684,85.8828,2016-03-01,603.65,617.53,2019-04-01,2019-12-30,194.88,23,7,0,Delayed
PRJ_0081,Railways Infrastructure Development at Gujarat Section Pkg-1,Ministry of Railways,Railways,IRCON,Gujarat,22.5922,71.0512,2017-05-01,342.27,336.45,2020-10-30,2020-10-30,321.92,11,10,1,Ongoing
PRJ_0082,Roads Infrastructure Development at Tamil Nadu Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Tamil Nadu,11.1958,78.9481,2023-11-01,966.94,1412.7,2028-06-01,2029-01-30,1169.09,9,7,1,Delayed
PRJ_0083,Petroleum Infrastructure Development at Gujarat Section Pkg-3,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,ONGC,Gujarat,22.5163,71.317,2017-10-01,367.08,348.73,2021-04-01,2021-05-01,154.21,6,2,0,Ongoing
PRJ_0084,Petroleum Infrastructure Development at Jharkhand Section Pkg-4,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,BPCL,Jharkhand,23.1007,84.9803,2023-10-01,1223.27,1385.96,2028-05-31,2030-05-01,961.3,23,14,2,Delayed
PRJ_0085,Roads Infrastructure Development at Kerala Section Pkg-5,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Kerala,10.9553,75.7736,2020-06-01,896.7,1114.6,2023-10-01,2027-03-01,692.02,18,11,6,Delayed
PRJ_0086,Railways Infrastructure Development at Uttar Pradesh Section Pkg-6,Ministry of Railways,Railways,IRCON,Uttar Pradesh,26.5324,81.4723,2020-04-01,1685.79,1601.5,2023-10-31,2024-02-29,1601.5,11,10,2,Delayed
PRJ_0087,Roads Infrastructure Development at Odisha Section Pkg-7,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Odisha,20.552,84.6439,2021-07-01,310.31,298.52,2026-01-30,2026-03-31,143.87,19,9,1,Ongoing
PRJ_0088,Roads Infrastructure Development at Gujarat Section Pkg-8,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Gujarat,21.9359,71.5547,2023-09-01,570.1,568.96,2026-01-30,2026-09-30,420.35,18,13,0,Delayed
PRJ_0089,Petroleum Infrastructure Development at Jammu & Kashmir Section Pkg-9,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,IOCL,Jammu & Kashmir,33.33,76.9873,2017-02-01,243.14,235.12,2018-08-02,2019-06-02,132.62,10,5,0,Delayed
PRJ_0090,Roads Infrastructure Development at Karnataka Section Pkg-1,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Karnataka,14.7639,75.338,2016-05-01,972.0,1046.84,2020-03-31,2020-08-30,184.38,9,1,1,Delayed
PRJ_0091,Roads Infrastructure Development at West Bengal Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,West Bengal,22.7279,,2017-11-01,150.0,175.2,2021-11-01,2021-11-01,84.98,18,8,0,Delayed
PRJ_0092,Roads Infrastructure Development at Andhra Pradesh Section Pkg-3,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Andhra Pradesh,15.8322,79.721,2017-04-01,1857.22,1955.65,2018-11-30,2019-10-30,1653.4,10,8,1,Delayed
PRJ_0093,Power Infrastructure Development at Uttar Pradesh Section Pkg-4,Ministry of Power,Power Transmission & Generation,NTPC,Uttar Pradesh,26.3982,81.4811,2018-04-01,969.42,981.05,2022-08-31,2022-12-30,881.41,16,14,2,Delayed
PRJ_0094,Roads Infrastructure Development at Madhya Pradesh Section Pkg-5,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Madhya Pradesh,23.3567,79.1436,2023-01-01,653.71,685.09,2025-12-01,2025-12-31,451.33,14,8,0,Ongoing
PRJ_0095,Roads Infrastructure Development at Andhra Pradesh Section Pkg-6,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Andhra Pradesh,16.3239,80.0068,2017-04-01,433.38,553.43,2021-07-31,2022-05-31,371.35,15,9,1,Delayed
